item.i_brand
tableSize: 18000
nullRows: 40
denominator: 1.0
groupSize: 80
lastGroupSize: 64
intype: 5 65
intype: 5 77
intype: 5 298
intype: 1 15
intype: 2 18
intype: 3 56
intype: 4 53
intype: 2 248
intype: 3 33
intype: 3 48
intype: 5 57
intype: 4 50
intype: 1 7
intype: 3 46
intype: 2 41
intype: 2 33
intype: 3 51
intype: 4 69
intype: 2 27
intype: 5 56
intype: 3 23
intype: 3 36
intype: 3 45
intype: 4 239
intype: 1 30
intype: 2 217
intype: 5 83
intype: 5 87
intype: 5 77
intype: 4 51
intype: 4 39
intype: 1 18
intype: 2 31
intype: 2 220
intype: 5 66
intype: 2 253
intype: 2 248
intype: 3 48
intype: 4 36
intype: 2 39
intype: 4 63
intype: 1 224
intype: 2 24
intype: 2 22
intype: 4 69
intype: 4 55
intype: 2 40
intype: 5 275
intype: 3 19
intype: 2 27
intype: 1 22
intype: 2 38
intype: 1 251
intype: 4 41
intype: 5 92
intype: 3 262
intype: 2 233
intype: 5 87
intype: 4 39
intype: 3 31
intype: 1 22
intype: 1 8
intype: 1 12
intype: 1 12
intype: 2 16
intype: 1 17
intype: 4 433
intype: 5 75
intype: 5 72
intype: 1 21
intype: 5 92
intype: 2 34
intype: 1 28
intype: 5 41
intype: 5 82
intype: 5 74
intype: 3 41
intype: 5 82
intype: 1 17
intype: 5 314
intype: 2 27
intype: 3 50
intype: 1 9
intype: 5 45
intype: 3 238
intype: 1 6
intype: 4 45
intype: 1 12
intype: 2 32
intype: 1 8
intype: 2 33
intype: 2 43
intype: 3 42
intype: 5 59
intype: 2 42
intype: 4 35
intype: 5 42
intype: 4 49
intype: 4 53
intype: 2 16
intype: 3 242
intype: 5 51
intype: 1 5
intype: 5 70
intype: 3 44
intype: 4 62
intype: 5 67
intype: 1 19
intype: 4 241
intype: 1 15
intype: 4 61
intype: 3 26
intype: 3 40
intype: 4 45
intype: 3 45
intype: 4 53
intype: 5 54
intype: 4 68
intype: 4 74
intype: 1 17
intype: 5 72
intype: 5 36
intype: 4 41
intype: 1 5
intype: 4 63
intype: 5 56
intype: 5 52
intype: 5 71
intype: 2 19
intype: 5 49
intype: 4 54
intype: 1 8
intype: 3 43
intype: 2 21
intype: 5 81
intype: 4 44
intype: 4 51
intype: 4 66
intype: 3 235
intype: 5 283
intype: 2 265
intype: 1 4
intype: 1 5
intype: 1 9
intype: 1 9
intype: 5 285
intype: 5 82
intype: 2 29
intype: 1 10
intype: 3 254
intype: 3 37
intype: 2 36
intype: 5 72
intype: 1 7
intype: 1 4
intype: 3 18
intype: 4 82
intype: 4 100
intype: 2 29
intype: 3 26
intype: 4 59
intype: 5 81
intype: 4 300
intype: 3 247
intype: 5 60
intype: 4 54
intype: 2 39
intype: 3 286
intype: 5 47
intype: 5 48
intype: 3 37
intype: 2 25
intype: 1 17
intype: 4 65
intype: 1 19
intype: 2 23
intype: 4 33
intype: 5 73
intype: 5 108
intype: 2 34
intype: 4 27
intype: 2 46
intype: 2 24
intype: 5 56
intype: 3 55
intype: 2 24
intype: 5 84
intype: 1 10
intype: 4 46
intype: 2 10
intype: 5 76
intype: 5 38
intype: 1 15
intype: 3 34
intype: 3 37
intype: 1 24
intype: 4 59
intype: 4 64
intype: 2 31
intype: 1 12
intype: 5 254
intype: 5 84
intype: 5 63
intype: 5 101
intype: 5 69
intype: 2 38
intype: 2 223
intype: 4 53
intype: 5 52
intype: 1 19
intype: 1 19
intype: 2 24
intype: 5 77
intype: 2 8
intype: 3 64
intype: 5 287
intype: 3 39
intype: 5 65
intype: 1 204
intype: 4 57
intype: 5 54
intype: 4 72
intype: 4 56
intype: 3 37
intype: 5 253
intype: 3 35
intype: 4 62
intype: 5 64
intype: 3 23
intype: 2 25
intype: 2 44
intype: 4 43
intype: 1 16
intype: 1 17
intype: 4 39
intype: 2 12
intype: 3 22
intype: 2 17
intype: 1 19
intype: 5 267
intype: 3 46
intype: 5 77
intype: 3 234
intype: 3 31
intype: 4 69
intype: 3 47
intype: 4 63
intype: 3 275
intype: 1 15
intype: 2 30
intype: 4 273
intype: 1 11
intype: 5 85
intype: 4 280
intype: 4 37
intype: 4 33
intype: 3 14
intype: 3 44
intype: 5 65
intype: 5 61
intype: 4 55
intype: 5 82
intype: 1 19
intype: 3 19
intype: 1 26
intype: 4 271
intype: 3 23
intype: 4 73
intype: 2 30
intype: 4 282
intype: 3 38
intype: 5 270
intype: 2 31
intype: 4 272
intype: 5 52
intype: 2 39
intype: 3 50
intype: 1 25
intype: 3 36
intype: 3 21
intype: 5 70
intype: 2 36
intype: 2 16
intype: 1 22
intype: 3 35
intype: 3 51
intype: 1 17
intype: 1 15
intype: 1 19
intype: 5 82
intype: 1 13
intype: 5 69
intype: 2 45
intype: 4 253
intype: 1 17
intype: 4 50
intype: 5 72
intype: 2 43
intype: 3 24
intype: 3 35
intype: 4 59
intype: 2 25
intype: 5 55
intype: 2 31
intype: 5 77
intype: 2 18
intype: 3 44
intype: 1 5
intype: 4 43
intype: 2 33
intype: 1 13
intype: 2 13
intype: 3 20
intype: 5 79
intype: 5 97
intype: 1 10
intype: 2 30
intype: 3 13
intype: 3 35
intype: 2 29
intype: 3 45
intype: 2 51
intype: 3 32
intype: 3 30
intype: 3 43
intype: 1 6
intype: 2 33
intype: 3 41
intype: 1 33
intype: 5 58
intype: 5 38
intype: 2 28
intype: 1 14
intype: 2 25
intype: 4 50
intype: 3 31
intype: 4 45
intype: 4 92
intype: 5 58
intype: 1 18
intype: 5 73
intype: 4 46
intype: 5 57
intype: 2 21
intype: 2 14
intype: 5 60
intype: 4 46
intype: 2 30
intype: 1 20
intype: 2 36
intype: 2 10
intype: 1 10
intype: 5 264
intype: 1 10
intype: 1 24
intype: 1 9
intype: 3 32
intype: 1 13
intype: 4 27
intype: 5 61
intype: 3 34
intype: 1 13
intype: 5 90
intype: 4 73
intype: 4 269
intype: 4 286
intype: 1 15
intype: 1 28
intype: 1 11
intype: 3 23
intype: 2 8
intype: 3 17
intype: 2 30
intype: 3 54
intype: 2 229
intype: 1 239
intype: 5 75
intype: 1 19
intype: 2 11
intype: 1 5
intype: 2 21
intype: 1 12
intype: 2 16
intype: 3 53
intype: 2 32
intype: 5 71
intype: 5 535
intype: 4 43
intype: 1 5
intype: 5 76
intype: 3 291
intype: 3 254
intype: 2 26
intype: 3 287
intype: 2 15
intype: 4 77
intype: 1 12
intype: 4 49
intype: 5 65
intype: 1 7
intype: 2 17
intype: 4 476
intype: 4 52
intype: 2 16
intype: 2 33
intype: 5 48
intype: 3 41
intype: 4 35
intype: 4 41
intype: 2 27
intype: 5 264
intype: 2 36
intype: 2 235
intype: 3 31
intype: 3 37
intype: 4 64
intype: 5 293
intype: 3 9
intype: 1 11
intype: 1 14
intype: 2 27
intype: 5 88
intype: 3 49
intype: 1 14
intype: 3 28
intype: 1 11
intype: 1 18
intype: 4 65
intype: 4 37
intype: 1 3
intype: 2 17
intype: 3 16
intype: 1 27
intype: 5 488
intype: 1 220
intype: 1 13
intype: 2 240
intype: 2 25
intype: 2 25
intype: 2 35
intype: 3 29
intype: 4 65
intype: 4 40
intype: 5 57
intype: 4 53
intype: 1 19
intype: 1 12
intype: 4 77
intype: 3 38
intype: 5 59
intype: 3 17
intype: 4 72
intype: 4 69
intype: 2 26
intype: 5 260
intype: 2 17
intype: 1 25
intype: 1 11
intype: 4 46
intype: 2 6
intype: 4 68
intype: 2 35
intype: 2 13
intype: 4 43
intype: 5 99
intype: 2 264
intype: 4 273
intype: 4 251
intype: 4 47
intype: 1 28
intype: 1 11
intype: 1 13
intype: 2 18
intype: 1 13
intype: 3 25
intype: 5 72
intype: 5 42
intype: 1 6
intype: 2 29
intype: 3 264
intype: 1 6
intype: 5 272
intype: 2 15
intype: 4 54
intype: 4 51
intype: 2 29
intype: 3 237
intype: 4 44
intype: 2 20
intype: 4 261
intype: 3 39
intype: 1 10
intype: 2 29
intype: 2 35
intype: 5 299
intype: 5 67
intype: 3 35
intype: 2 34
intype: 3 37
intype: 3 34
intype: 2 40
intype: 4 244
intype: 3 65
intype: 5 70
intype: 3 37
intype: 4 37
intype: 4 46
intype: 4 49
intype: 4 32
intype: 1 17
intype: 1 19
0 0 0 1 5 18 2 27 212 
0 0 0 0 3 2 0 0 1 
0 0 0 0 0 1 3 0 1 
0 0 0 0 1 0 1 1 0 
0 0 0 1 0 1 0 0 0 
0 0 0 0 2 3 0 0 0 
0 0 0 0 0 0 3 0 0 
0 0 0 0 1 4 0 0 0 
0 0 0 0 3 1 0 0 0 
0 0 0 0 1 3 0 0 0 
0 0 0 0 1 1 0 0 0 
0 0 0 1 0 1 0 0 0 
0 0 0 0 2 0 1 0 0 
0 0 0 1 2 0 0 0 0 
0 0 0 2 1 1 0 0 1 
0 0 0 0 0 4 0 0 0 
0 0 0 0 1 3 2 0 0 
0 0 0 0 0 3 2 0 0 
0 0 0 2 0 2 0 0 0 
0 0 0 0 0 4 0 0 0 
0 0 0 0 1 2 0 0 0 
0 0 0 0 1 0 0 1 0 
0 0 0 0 1 0 3 1 0 
0 0 0 0 0 3 2 0 0 
0 0 0 0 3 0 0 1 0 
0 0 0 0 3 0 0 1 0 
0 0 0 0 0 4 0 0 0 
0 0 0 1 1 0 1 0 0 
0 0 0 0 0 3 0 0 2 
0 0 0 0 0 1 0 0 0 
0 0 0 0 2 0 1 0 0 
0 0 0 3 0 0 0 1 0 
0 0 0 0 2 3 0 0 0 
0 0 0 0 1 2 0 0 0 
0 0 0 0 0 5 0 0 1 
0 0 0 0 0 3 0 0 1 
0 0 0 1 0 1 0 0 0 
0 0 0 0 1 1 0 1 0 
0 0 0 0 1 1 0 0 0 
0 0 0 0 0 3 0 0 1 
0 0 0 1 0 3 2 0 0 
0 0 0 0 2 0 1 0 1 
0 0 0 0 1 3 0 0 0 
0 0 0 1 0 3 0 0 1 
0 0 0 0 3 0 0 0 0 
0 0 0 0 0 2 0 1 0 
0 0 0 0 1 0 0 0 1 
0 0 0 0 0 1 0 0 0 
0 0 0 0 0 3 0 0 1 
0 0 0 0 1 0 4 1 0 
0 0 0 0 1 0 2 0 0 
0 0 0 0 0 0 3 1 0 
0 0 0 0 1 0 0 1 0 
0 0 0 0 2 1 0 0 1 
0 0 0 1 1 2 0 0 0 
0 0 0 0 0 2 0 0 0 
0 0 0 0 0 2 0 1 0 
0 0 0 0 3 0 0 0 0 
0 0 0 0 0 1 2 0 0 
0 0 0 0 0 4 0 0 1 
0 0 0 0 4 1 0 0 0 
0 0 0 0 2 4 0 0 0 
0 0 0 1 1 1 0 0 0 
0 1 0 0 0 0 0 1 0 
0 0 0 0 3 2 0 0 0 
0 0 1 0 1 0 0 1 0 
0 0 0 0 0 1 0 1 1 
0 0 0 0 0 4 0 0 0 
0 0 0 0 2 0 1 0 0 
0 0 0 0 3 3 0 0 0 
0 0 0 0 0 3 0 0 1 
0 0 0 0 3 1 0 0 1 
0 0 0 0 1 1 0 0 0 
0 0 0 0 0 2 0 1 1 
0 0 0 0 0 3 0 0 1 
0 0 0 0 0 0 0 1 0 
0 0 0 0 1 3 1 0 0 
0 0 0 0 3 0 0 1 0 
0 0 0 1 2 0 0 0 1 
0 0 0 0 3 2 0 0 0 
0 0 0 0 2 0 0 1 0 
0 0 0 1 1 0 1 0 0 
0 0 0 0 0 5 0 0 0 
0 0 0 0 1 2 1 0 0 
0 0 0 0 2 0 1 0 0 
0 0 0 0 2 0 1 0 0 
0 0 0 0 3 1 1 0 0 
0 0 0 0 1 4 0 0 0 
0 0 0 0 1 3 1 0 0 
0 0 0 0 2 3 0 0 1 
0 0 0 0 3 2 0 0 0 
0 0 0 0 3 0 0 0 0 
0 0 0 0 3 1 0 0 1 
0 0 0 0 0 1 0 0 0 
0 0 0 0 2 2 2 0 0 
0 0 0 0 1 2 0 0 0 
0 0 0 0 1 2 0 0 0 
0 0 0 0 0 3 0 0 0 
0 0 0 0 3 2 0 0 0 
0 0 0 1 0 0 0 1 1 
0 0 0 0 2 4 0 0 0 
0 0 0 0 0 1 0 0 0 
0 0 0 0 0 1 1 0 0 
0 0 0 0 0 4 0 0 0 
0 0 0 0 0 2 2 0 0 
0 0 0 0 2 4 0 0 0 
1 0 0 0 0 0 0 1 0 
0 0 0 0 3 0 0 1 0 
0 0 0 1 1 0 1 0 0 
0 0 0 0 0 3 0 0 1 
0 0 0 0 0 0 0 1 1 
0 0 0 0 3 0 0 0 0 
0 0 0 0 0 2 0 0 0 
0 0 0 0 3 0 0 0 0 
0 0 0 0 0 0 1 1 0 
0 0 0 0 0 2 0 0 0 
0 0 0 0 1 0 0 1 0 
0 0 0 0 0 2 0 0 1 
0 0 0 0 3 0 0 0 0 
0 0 0 0 3 3 0 0 0 
0 0 0 1 1 0 1 0 0 
0 0 0 1 0 1 2 0 0 
0 0 0 0 0 1 0 0 0 
0 0 0 0 1 0 3 1 0 
0 0 0 0 3 2 1 0 0 
0 0 0 0 2 3 0 0 0 
0 0 0 0 0 4 0 0 0 
0 0 0 1 0 0 1 1 0 
0 0 0 0 0 0 2 1 0 
0 0 0 0 4 2 0 0 0 
0 0 0 0 0 2 0 1 0 
0 0 0 0 3 0 0 1 0 
0 0 0 0 1 0 0 0 0 
0 0 0 0 3 0 0 1 0 
0 0 0 0 2 0 1 1 0 
0 0 0 0 0 1 2 0 1 
0 0 0 0 1 1 1 0 0 
0 0 0 0 1 1 0 0 0 
0 0 0 0 0 0 0 1 1 
0 0 0 0 2 3 0 0 0 
0 0 0 0 2 0 2 1 0 
0 0 0 0 4 1 0 0 0 
0 0 0 0 2 2 0 0 0 
0 0 0 0 1 2 0 0 0 
0 0 0 0 0 5 0 0 0 
0 0 0 0 0 1 1 0 0 
0 0 0 0 0 4 0 1 1 
0 0 0 0 3 1 1 0 0 
0 0 0 0 0 2 2 0 0 
0 0 0 3 0 3 0 0 0 
0 0 0 0 0 2 0 0 0 
0 0 0 0 1 0 2 0 0 
0 0 0 0 0 2 0 0 0 
0 0 0 0 2 0 1 0 0 
0 0 0 0 2 3 0 0 0 
0 0 0 0 1 3 1 0 0 
0 0 0 0 0 0 0 2 1 
0 0 0 0 0 0 0 1 0 
0 0 0 0 2 3 0 0 0 
0 0 0 0 0 1 0 2 2 
0 0 0 2 0 2 1 0 0 
0 0 0 1 1 0 1 1 0 
0 0 0 0 1 0 0 0 0 
0 0 0 0 2 3 0 0 0 
0 0 0 0 0 1 0 0 0 
0 0 0 0 4 0 0 0 1 
0 0 0 0 0 3 0 0 0 
0 0 0 0 0 3 0 0 1 
0 0 0 1 3 1 0 0 0 
0 0 0 0 1 1 0 1 0 
1 0 0 0 0 0 0 1 0 
0 0 0 0 0 2 1 0 0 
0 0 0 0 2 3 0 0 0 
0 0 0 0 0 3 2 0 0 
0 0 0 0 2 0 0 0 0 
0 0 0 0 1 1 0 0 0 
0 0 0 0 0 1 2 1 0 
0 0 0 0 2 0 0 1 0 
0 0 0 0 0 1 1 1 0 
0 0 0 0 0 0 0 0 1 
0 0 0 0 2 0 1 0 0 
0 0 0 0 1 0 0 1 1 
0 0 0 0 4 2 0 0 0 
0 0 0 0 0 3 0 0 1 
0 0 0 0 2 2 2 0 0 
0 0 0 1 2 0 0 0 0 
0 0 0 0 2 2 0 0 1 
0 0 0 0 0 3 0 0 0 
0 0 0 0 0 4 0 0 1 
0 0 0 0 0 2 0 0 0 
0 0 0 1 1 0 1 0 0 
0 0 0 0 0 0 3 1 0 
0 0 0 0 0 3 0 0 0 
0 0 0 0 0 1 0 0 0 
0 0 0 0 0 4 0 0 0 
0 0 0 0 1 0 2 1 0 
0 0 0 0 1 3 0 0 1 
0 0 0 0 1 1 0 0 0 
0 0 0 0 2 0 0 0 0 
0 0 0 0 3 0 0 0 0 
0 0 0 0 2 0 1 1 0 
0 0 0 0 0 0 2 0 0 
0 0 0 0 0 1 0 0 1 
0 0 0 0 0 3 0 0 1 
0 0 0 2 0 0 0 1 0 
0 0 0 0 0 0 0 2 2 
0 0 0 0 0 1 0 0 0 
0 0 0 0 2 3 1 0 0 
0 0 0 0 2 1 0 0 2 
0 0 0 0 1 0 3 1 0 
0 0 0 1 2 3 0 0 0 
0 0 0 0 0 4 0 0 1 
0 0 0 0 0 2 1 1 0 
0 0 0 0 3 2 0 0 0 
0 0 0 0 1 1 1 0 0 
0 0 0 2 0 0 1 0 0 
0 0 0 0 0 3 2 0 0 
0 1 0 0 0 0 0 1 0 
0 0 0 0 0 2 0 0 0 
0 0 0 0 3 0 0 0 0 
0 0 0 0 0 3 0 0 0 
0 0 0 0 0 2 0 0 0 
0 0 0 0 0 0 5 1 0 
0 0 0 0 0 5 0 0 0 
0 0 0 0 3 3 0 0 0 
0 0 0 0 2 0 1 0 0 
0 0 0 0 0 0 0 1 1 
0 0 0 0 2 0 0 0 0 
1 0 0 0 0 0 0 1 0 
0 0 0 0 0 6 0 0 0 
0 0 0 2 0 3 1 0 0 
0 0 0 0 1 3 1 0 0 
0 0 0 0 0 2 0 0 1 
0 0 0 1 2 0 0 0 0 
0 0 0 0 0 1 0 1 0 
0 0 0 0 4 0 0 0 1 
0 0 0 2 0 2 0 0 1 
0 0 0 0 0 2 3 0 1 
0 0 0 0 2 3 0 0 0 
0 0 0 0 0 1 0 1 0 
0 0 0 0 0 3 1 0 0 
0 0 0 0 0 0 0 0 1 
0 0 0 0 0 1 2 0 0 
0 0 0 0 0 3 3 0 0 
0 0 0 1 0 0 2 1 0 
0 0 0 0 3 2 0 0 1 
0 0 0 3 0 0 0 0 0 
0 0 0 1 1 1 0 0 0 
0 0 0 0 0 4 1 0 0 
0 0 0 0 0 3 0 0 1 
0 0 0 0 0 5 0 0 1 
0 1 0 0 0 0 0 1 0 
0 0 0 0 3 0 0 0 0 
0 0 0 2 0 3 0 0 1 
0 0 0 0 0 4 0 0 0 
0 0 0 0 0 2 0 0 0 
0 0 0 0 0 3 0 0 0 
0 0 0 0 3 0 0 0 0 
0 0 0 0 2 0 1 0 0 
0 0 0 0 2 0 0 0 1 
0 0 0 0 3 0 0 0 0 
0 0 0 0 0 2 0 0 1 
0 0 0 0 0 0 0 1 0 
0 0 0 1 0 0 0 1 0 
0 0 0 0 1 5 0 0 0 
0 0 0 0 3 0 0 1 0 
0 0 0 0 3 0 0 0 0 
0 0 0 1 1 0 0 1 0 
0 0 0 0 1 4 0 0 0 
0 0 0 0 0 1 0 1 0 
0 0 0 0 2 3 0 0 0 
0 0 0 0 1 4 0 0 0 
0 0 0 0 0 1 3 0 0 
0 0 0 0 1 2 0 0 1 
0 0 0 0 2 0 1 0 0 
0 0 0 0 0 0 2 0 0 
0 0 0 0 1 0 2 1 0 
0 0 0 0 0 3 0 0 1 
0 0 0 0 0 1 0 0 0 
0 0 0 1 2 0 0 1 0 
0 0 0 0 0 0 0 1 0 
0 0 0 3 0 0 0 1 0 
0 0 0 0 3 3 0 0 0 
0 0 0 0 3 0 0 1 0 
0 0 0 0 3 0 0 0 0 
0 0 0 0 1 0 2 1 0 
0 0 0 0 1 0 0 1 0 
0 0 0 1 1 0 0 1 0 
0 0 0 1 0 1 0 0 0 
0 0 0 0 1 0 1 1 0 
0 0 0 0 3 2 0 0 0 
0 0 0 0 0 0 1 1 0 
0 0 0 0 0 0 1 1 0 
0 0 0 0 2 3 1 0 0 
0 0 0 0 2 0 1 0 0 
0 0 0 0 1 4 0 0 0 
0 0 0 0 0 1 0 0 0 
0 0 0 0 0 2 0 0 1 
0 0 0 0 0 3 0 0 0 
0 0 0 0 3 0 0 0 0 
0 0 0 0 0 3 0 0 1 
0 0 0 0 1 0 0 0 0 
0 0 0 0 0 0 0 1 1 
0 0 0 0 0 3 0 0 0 
0 0 0 0 1 0 3 1 0 
0 0 0 0 2 0 1 0 0 
0 0 0 0 0 2 0 0 1 
0 0 0 0 0 3 0 0 1 
0 0 0 2 0 1 0 0 0 
0 0 0 1 2 0 1 1 0 
